Date,Close_HDFC,Close_KOTAK,Close_SBI
9/28/2016,1423.55,782.30,253.75
9/29/2016,1401.40,772.60,247.25
9/30/2016,1393.45,777.00,251.25
10/3/2016,1425.50,788.05,255.30
10/4/2016,1432.40,791.70,259.75
10/5/2016,1423.15,782.15,260.85
10/6/2016,1426.00,783.00,256.80
10/7/2016,1403.70,782.65,258.70
10/10/2016,1391.45,780.20,256.60
10/13/2016,1338.90,772.35,249.65
10/14/2016,1316.05,781.75,252.10
10/17/2016,1301.95,769.25,253.20
10/18/2016,1355.25,776.95,256.90
10/19/2016,1342.15,774.00,255.40
10/20/2016,1359.95,772.35,260.20
10/21/2016,1336.55,781.50,258.50
10/24/2016,1344.00,787.35,262.95
10/25/2016,1340.10,786.55,261.45
10/26/2016,1334.65,811.50,258.75
10/27/2016,1378.55,806.60,255.40
10/28/2016,1391.70,819.35,258.00
10/30/2016,1377.50,819.65,257.60
11/1/2016,1417.20,805.55,258.95
11/2/2016,1404.35,804.00,251.05
11/3/2016,1401.60,806.00,245.65
11/4/2016,1386.15,799.65,242.85
11/7/2016,1381.40,801.85,252.70
11/8/2016,1391.35,811.80,252.65
11/9/2016,1350.80,822.10,260.00
11/10/2016,1324.55,819.25,281.30
11/11/2016,1268.35,815.60,273.00
11/15/2016,1225.75,789.55,278.20
11/16/2016,1255.40,770.55,277.20
11/17/2016,1250.20,776.25,277.45
11/18/2016,1249.80,779.25,275.80
11/21/2016,1221.95,762.70,257.35
11/22/2016,1249.70,769.60,257.35
11/23/2016,1226.90,766.15,258.65
11/24/2016,1217.65,742.10,261.75
11/25/2016,1244.05,752.15,260.95
11/28/2016,1246.70,750.15,253.55
11/29/2016,1255.80,745.40,252.70
11/30/2016,1263.10,755.45,258.35
12/1/2016,1270.00,744.95,255.65
12/2/2016,1236.80,723.55,254.10
12/5/2016,1215.55,729.80,256.90
12/6/2016,1243.40,734.00,259.10
12/7/2016,1264.95,734.35,255.60
12/8/2016,1289.85,748.65,259.90
12/9/2016,1268.25,745.25,266.65
12/12/2016,1264.50,729.85,263.65
12/13/2016,1278.55,730.95,266.15
12/14/2016,1266.55,727.80,262.90
12/15/2016,1259.20,724.75,265.40
12/16/2016,1269.15,719.10,264.75
12/19/2016,1247.90,719.65,261.35
12/20/2016,1235.55,718.35,254.55
12/21/2016,1235.60,719.80,255.35
12/22/2016,1217.40,713.15,249.80
12/23/2016,1224.85,711.75,249.15
12/26/2016,1219.50,711.05,244.20
12/27/2016,1232.15,712.15,248.75
12/28/2016,1237.95,713.05,247.75
12/29/2016,1257.20,713.40,247.65
12/30/2016,1262.60,719.70,250.20
1/2/2017,1217.10,714.80,243.60
